date,transactions,revenue,black Friday
1/20/2021,252,86189.15,0
1/21/2021,182,67936.88,0
1/22/2021,190,72502.03,0
1/23/2021,214,70982.62,0
1/24/2021,283,93298.37,0
1/25/2021,181,61157.19,0
1/26/2021,135,47701.64,0
1/27/2021,190,63419.45,0
1/28/2021,166,58142.04,0
1/29/2021,158,49285.85,0
1/30/2021,241,78857.99,0
1/31/2021,270,88750.24,0
2/1/2021,221,73347.01,0
2/2/2021,175,59318.31,0
2/3/2021,195,64241.1,0
2/4/2021,187,66587.1,0
2/5/2021,176,56918.54,0
2/6/2021,207,61517.86,0
2/7/2021,190,58631.19,0
2/8/2021,185,56926.24,0
2/9/2021,176,59377.17,0
2/10/2021,171,55692.94,0
2/11/2021,158,54363.56,0
2/12/2021,142,51793.61,0
2/13/2021,155,50384.04,0
2/14/2021,188,64875.92,0
2/15/2021,443,147199.71,0
2/16/2021,315,114646.41,0
2/17/2021,208,75109.49,0
2/18/2021,210,67354.06,0
2/19/2021,155,49944.93,0
2/20/2021,154,52851.99,0
2/21/2021,193,66135.08,0
2/22/2021,233,82638.59,0
2/23/2021,203,84278.82,0
2/24/2021,216,79076.88,0
2/25/2021,246,85396.66,0
2/26/2021,219,76998.22,0
2/27/2021,224,75685.28,0
2/28/2021,280,94496.5,0
3/1/2021,282,99141.16,0
3/2/2021,244,85243.73,0
3/3/2021,270,97425.66,0
3/4/2021,233,88211.06,0
3/5/2021,231,81356.91,0
3/6/2021,264,96629.2,0
3/7/2021,281,100546.46,0
3/8/2021,278,98731.67,0
3/9/2021,209,72202.61,0
3/10/2021,218,80527.75,0
3/11/2021,219,74544.02,0
3/12/2021,171,61963.79,0
3/13/2021,203,75336,0
3/14/2021,296,99826.18,0
3/15/2021,216,72758.7,0
3/16/2021,190,66144.17,0
3/17/2021,227,75176.12,0
3/18/2021,197,70666.38,0
3/19/2021,194,68465.6,0
3/20/2021,264,84110.55,0
3/21/2021,258,84249.91,0
3/22/2021,262,92104.43,0
3/23/2021,227,80011.77,0
3/24/2021,257,80799.48,0
3/25/2021,195,64846.22,0
3/26/2021,204,71736.95,0
3/27/2021,206,69371.58,0
3/28/2021,231,75480.08,0
3/29/2021,277,89757.57,0
3/30/2021,218,73179.94,0
3/31/2021,223,73417.14,0
4/1/2021,249,88081.47,0
4/2/2021,214,73229.93,0
4/3/2021,206,65353.82,0
4/4/2021,244,81770.17,0
4/5/2021,302,97360.74,0
4/6/2021,300,102162.4,0
4/7/2021,242,79951.51,0
4/8/2021,231,80460.5,0
4/9/2021,216,70678.75,0
4/10/2021,302,97116.31,0
4/11/2021,326,107888.09,0
4/12/2021,288,98907.84,0
4/13/2021,201,62413.27,0
4/14/2021,202,68505.57,0
4/15/2021,185,60908.16,0
4/16/2021,161,51741.97,0
4/17/2021,185,59562.5,0
4/18/2021,226,73961.74,0
4/19/2021,224,78908.18,0
4/20/2021,223,71170.16,0
4/21/2021,245,104624.78,0
4/22/2021,195,65349.99,0
4/23/2021,224,69916.92,0
4/24/2021,197,65309.81,0
4/25/2021,277,95305.06,0
4/26/2021,310,97932.62,0
4/27/2021,222,71194.6,0
4/28/2021,309,94667.39,0
4/29/2021,293,90661.95,0
4/30/2021,224,75125.97,0
5/1/2021,335,111872.73,0
5/2/2021,307,107199.06,0
5/3/2021,314,100994.82,0
5/4/2021,259,93834.93,0
5/5/2021,233,78398.06,0
5/6/2021,246,83264.35,0
5/7/2021,229,77464.09,0
5/8/2021,235,80561.64,0
5/9/2021,306,105278.11,0
5/10/2021,320,110540.97,0
5/11/2021,189,62986.94,0
5/12/2021,198,67484.75,0
5/13/2021,228,78572.25,0
5/14/2021,234,78488,0
5/15/2021,193,63931.1,0
5/16/2021,282,93962.72,0
5/17/2021,233,71506.3,0
5/18/2021,209,76579.33,0
5/19/2021,232,74465.7,0
5/20/2021,188,69607.57,0
5/21/2021,212,64615.64,0
5/22/2021,208,68095.92,0
5/23/2021,225,73947.64,0
5/24/2021,358,121333.74,0
5/25/2021,269,83316.11,0
5/26/2021,264,81258.53,0
5/27/2021,226,72925.28,0
5/28/2021,205,65586.74,0
5/29/2021,225,70774.45,0
5/30/2021,301,93499.53,0
5/31/2021,324,98619.83,0
6/1/2021,339,106125.08,0
6/2/2021,349,111297.38,0
6/3/2021,222,74241.76,0
6/4/2021,257,112916.99,0
6/5/2021,218,73116.38,0
6/6/2021,321,103569.51,0
6/7/2021,330,112280.1,0
6/8/2021,234,75716.68,0
6/9/2021,276,84479.47,0
6/10/2021,255,81155.46,0
6/11/2021,221,67293.1,0
6/12/2021,229,70089.06,0
6/13/2021,283,82648.62,0
6/14/2021,339,105037.84,0
6/15/2021,231,76047.33,0
6/16/2021,208,67078.43,0
6/17/2021,219,77641.06,0
6/18/2021,209,68092.79,0
6/19/2021,190,60486.37,0
6/20/2021,292,93919.1,0
6/21/2021,329,108717.25,0
6/22/2021,241,70288.22,0
6/23/2021,260,80766.12,0
6/24/2021,225,69436.35,0
6/25/2021,243,78286.12,0
6/26/2021,249,78070.22,0
6/27/2021,308,96367.4,0
6/28/2021,349,112505.66,0
6/29/2021,335,108607.72,0
6/30/2021,370,120742.12,0
7/1/2021,291,93830.23,0
7/2/2021,250,88098.51,0
7/3/2021,289,95677.28,0
7/4/2021,439,149605.25,0
7/5/2021,394,128751.97,0
7/6/2021,316,108207.17,0
7/7/2021,334,116685.79,0
7/8/2021,279,88740.18,0
7/9/2021,235,80980.78,0
7/10/2021,253,86983.69,0
7/11/2021,317,104827.34,0
7/12/2021,290,100776.9,0
7/13/2021,277,89267.22,0
7/14/2021,372,122782.85,0
7/15/2021,254,85551.7,0
7/16/2021,238,78265.12,0
7/17/2021,240,79762.99,0
7/18/2021,256,79239.32,0
7/19/2021,314,99293.51,0
7/20/2021,246,86355.96,0
7/21/2021,263,79702.83,0
7/22/2021,236,68656.15,0
7/23/2021,242,76305.87,0
7/24/2021,225,71635.72,0
7/25/2021,333,108976.57,0
7/26/2021,391,126417.65,0
7/27/2021,368,115758.28,0
7/28/2021,203,64781.78,0
7/29/2021,246,83246.92,0
7/30/2021,225,76246.98,0
7/31/2021,205,68101.25,0
8/1/2021,334,114068.78,0
8/2/2021,349,115459.95,0
8/3/2021,295,102194.25,0
8/4/2021,287,94277.63,0
8/5/2021,281,94273.43,0
8/6/2021,226,76967.83,0
8/7/2021,275,87957.84,0
8/8/2021,269,88375.22,0
8/9/2021,318,104346.78,0
8/10/2021,234,80828.2,0
8/11/2021,246,81317.77,0
8/12/2021,239,92068.21,0
8/13/2021,231,79987.65,0
8/14/2021,239,79441.5,0
8/15/2021,350,111662.28,0
8/16/2021,353,116398.52,0
8/17/2021,246,73293.89,0
8/18/2021,275,86692.32,0
8/19/2021,259,83555.58,0
8/20/2021,219,65670.75,0
8/21/2021,236,71798.53,0
8/22/2021,368,109734.34,0
8/23/2021,351,111275.05,0
8/24/2021,306,98770.19,0
8/25/2021,242,77059.5,0
8/26/2021,257,86109.95,0
8/27/2021,229,80431.77,0
8/28/2021,227,78609.37,0
8/29/2021,331,113185.52,0
8/30/2021,356,125165,0
8/31/2021,295,132100.54,0
9/1/2021,271,97148.49,0
9/2/2021,214,76951.99,0
9/3/2021,194,68868.32,0
9/4/2021,230,82413.64,0
9/5/2021,271,93179.33,0
9/6/2021,266,96514.98,0
9/7/2021,221,73329.35,0
9/8/2021,227,79518.38,0
9/9/2021,209,66866.6,0
9/10/2021,191,64572.17,0
9/11/2021,207,68343.66,0
9/12/2021,312,100551.45,0
9/13/2021,220,87162.21,0
9/14/2021,157,51304.09,0
9/15/2021,204,73214.92,0
9/16/2021,229,79115.53,0
9/17/2021,181,65426.69,0
9/18/2021,185,64156.89,0
9/19/2021,347,112158.37,0
9/20/2021,278,99233.7,0
9/21/2021,181,62021.93,0
9/22/2021,252,82632.05,0
9/23/2021,183,64692.62,0
9/24/2021,215,71781.18,0
9/25/2021,213,72259.48,0
9/26/2021,374,126188.75,0
9/27/2021,331,115418.4,0
9/28/2021,243,85072.6,0
9/29/2021,265,93173.5,0
9/30/2021,208,76578.72,0
10/1/2021,168,59806.06,0
10/2/2021,236,83256.53,0
10/3/2021,338,120942.01,0
10/4/2021,269,95670.45,0
10/5/2021,237,90473.43,0
10/6/2021,239,82653.21,0
10/7/2021,233,82803.48,0
10/8/2021,181,67583.82,0
10/9/2021,206,75150.11,0
10/10/2021,283,106363.48,0
10/11/2021,212,74570.4,0
10/12/2021,201,75215.51,0
10/13/2021,227,80696.81,0
10/14/2021,197,69938.01,0
10/15/2021,187,71836.99,0
10/16/2021,203,71981,0
10/17/2021,272,96563.24,0
10/18/2021,219,78892.81,0
10/19/2021,151,53800.41,0
10/20/2021,188,65364.93,0
10/21/2021,185,61959.1,0
10/22/2021,199,69209.83,0
10/23/2021,199,66789.23,0
10/24/2021,252,83183.67,0
10/25/2021,280,100023.57,0
10/26/2021,185,102939.14,0
10/27/2021,171,64082.16,0
10/28/2021,184,68374.98,0
10/29/2021,201,67579.06,0
10/30/2021,219,77379.18,0
10/31/2021,216,72859.43,0
11/1/2021,334,120964.81,0
11/2/2021,270,98605.06,0
