date,google,meta
7/30/2021,7163.48,319.47
7/31/2021,7458.31,338.4
8/1/2021,7595.78,328.23
8/2/2021,7434.85,328.55
8/3/2021,7061.35,326.858877
8/4/2021,7728.56,315.74
8/5/2021,7352.64,321.16731
8/6/2021,6239.28,317.85
8/7/2021,7074.48,336.6
8/8/2021,7027.54,327.89
8/9/2021,6364.92,317.51
8/10/2021,5733.67,391.13
8/11/2021,4862.74,453.842551
8/12/2021,5091.16,463.9
8/13/2021,4507.88,467.660901
8/14/2021,4979.9,494.94
8/15/2021,5636.27,479.69
8/16/2021,6704.5,477.229084
8/17/2021,6354.91,477.45
8/18/2021,7067.99,470.530307
8/19/2021,7312.09,475.540915
8/20/2021,6358.66,465.3
8/21/2021,5743.45,479.26062
8/22/2021,6779.91,477.57265
8/23/2021,8625.39,474.109064
8/24/2021,8995.97,478.72
8/25/2021,8105.52,468.340613
8/26/2021,7448.29,476.71
8/27/2021,8021.92,461.78
8/28/2021,7355.46,487.75
8/29/2021,8080.75,476.6
8/30/2021,9233.63,428.31
8/31/2021,7789.34,483.08
9/1/2021,5790.51,546.19
9/2/2021,5882.86,529.93
9/3/2021,5926.79,538.96
9/4/2021,5484.84,582.720517
9/5/2021,5789.96,555.34
9/6/2021,9860,451.01
9/7/2021,5115.99,427.380373
9/8/2021,5471.14,429.474976
9/9/2021,5967.21,409.302511
9/10/2021,4947.8,411.91
9/11/2021,5356.51,444.38
9/12/2021,6383.32,431.219333
9/13/2021,4777.35,413.63
9/14/2021,5246.09,431.13
9/15/2021,6755.21,391.663242
9/16/2021,5049.67,366.17
9/17/2021,4869.13,365.141199
9/18/2021,5960.78,391.32
9/19/2021,7298.65,378.61
9/20/2021,5645.11,371.05
9/21/2021,4765.13,375.13
9/22/2021,5251.22,370.01
9/23/2021,5080.34,375.269266
9/24/2021,5227.46,373.309262
9/25/2021,6975.52,385.9
9/26/2021,7969.43,380.86
9/27/2021,6176.65,364.04
9/28/2021,6170.39,373.64
9/29/2021,6917.24,399.19
9/30/2021,4529.14,451.91
10/1/2021,5076.26,475.85
10/2/2021,6354.06,496.959426
10/3/2021,7291.35,491.012553
10/4/2021,6246.37,317.3939
10/5/2021,5735.19,510.499495
10/6/2021,5600.44,495.687474
10/7/2021,5520.74,491.44
10/8/2021,5764.74,479.466141
10/9/2021,5472.43,523.79
10/10/2021,6110.98,486.1
10/11/2021,5293.18,448.120111
10/12/2021,5238.76,445.28063
10/13/2021,5826.43,472.143208
10/14/2021,4700.74,466.040077
10/15/2021,4797.6,490.590572
10/16/2021,5430.25,513.88
10/17/2021,6731.61,512.77
10/18/2021,5516.68,498.030569
10/19/2021,4808.65,562.773581
10/20/2021,5301.72,571.801902
10/21/2021,4575.28,558.71
10/22/2021,5031.65,559.82
10/23/2021,6360.85,593.16
10/24/2021,6752.92,571.880991
10/25/2021,6000.24,556.85
10/26/2021,6058.42,446.900634
10/27/2021,5554.1,493.896401
10/28/2021,4942.56,623.532201
10/29/2021,5250.81,672.400693
10/30/2021,5927.64,669.950796
10/31/2021,6477.66,658.78
11/1/2021,7387.63,651.191678
11/2/2021,5860,634.043475
11/3/2021,5820.66,591.114627
11/4/2021,5951.38,523.029331
11/5/2021,6117.31,509.27
11/6/2021,8367.32,517.26
11/7/2021,9720.36,521.94
11/8/2021,8968.14,519.173117
11/9/2021,7421.2,514.22
11/10/2021,7417.27,558.558628
11/11/2021,8883.46,563.499932
11/12/2021,7404.88,543.430997
11/13/2021,10671.9,575.650962
11/14/2021,9265.25,564.360952
11/15/2021,8597.45,563.272859
11/16/2021,8754.7,561.64
11/17/2021,8964.16,569.35189
11/18/2021,9054.59,564.1
11/19/2021,9201.44,556.669512
11/20/2021,11989.83,575.730969
11/21/2021,11810.14,570.4519
11/22/2021,9982.12,563.731909
11/23/2021,11163.73,569.560953
11/24/2021,14075.04,589.17
11/25/2021,18441.05,615.18
11/26/2021,44782.93,674.27
11/27/2021,29771.94,679.88
11/28/2021,48549.05,881.09
11/29/2021,29047.09,861.38
11/30/2021,15816.82,870.84
12/1/2021,18443.63,892.25
12/2/2021,14818.88,860.601972
12/3/2021,15499.75,863.24
12/4/2021,20450.71,916.600619
12/5/2021,20825.25,886.371896
12/6/2021,19136.88,884.520477
12/7/2021,18890.88,872.134718
12/8/2021,16964.32,869.671718
12/9/2021,14410.61,866.66
12/10/2021,13631.93,869.522327
12/11/2021,15263.81,896.928863
12/12/2021,18141.02,881.165616
12/13/2021,15157.15,899.77147
12/14/2021,13496.17,935.051277
12/15/2021,13837.33,1016.28
12/16/2021,12945.39,1062.96287
12/17/2021,11681.46,1088.4744
12/18/2021,12863.39,1130.04
12/19/2021,14197.03,1148.41
12/20/2021,15829.5,1157.39
12/21/2021,13244.59,1253.1
12/22/2021,8161.72,1472.36084
12/23/2021,5240.7,1635.53963
12/24/2021,3383.92,1672.30037
12/25/2021,13220.75,1722.69435
12/26/2021,12722.62,1711.44073
